filhosJuntos;tempoJuntos;idade;possuiProfissao;escolaridade;qtdRegAnt
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;FUNDAMENTAL;Mais_que_2_registros
N;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;SUPERIOR;Entre_1_e_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;MEDIO;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Entre_1_e_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Entre_1_e_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;FUNDAMENTAL;Mais_que_2_registros
N;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;SUPERIOR;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Entre_1_e_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;S;FUNDAMENTAL;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;MEDIO;Mais_que_2_registros
S;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;FUNDAMENTAL;Mais_que_2_registros
N;mais_que_cinco_anos_juntos;entre_31_e_40_anos;N;SUPERIOR;Mais_que_2_registros
